29.06.26 21:36:01 | INFO | app.recommendations_service:<module>:54 - FastApi app started (<fastapi.applications.FastAPI object at 0x7fa3caaac6a0>)
29.06.26 21:36:01 | INFO | app.recommendations_service:lifespan_listener:28 - app starting (<fastapi.applications.FastAPI object at 0x7fa3caaac6a0>)
29.06.26 21:36:03 | DEBUG | app.recommendations_service:lifespan_listener:43 - model is loaded
29.06.26 21:36:23 | DEBUG | app.recommendations_service:get_recommendations_online:78 - get online recs for user_id 1202008, top_k = 10
29.06.26 21:36:23 | DEBUG | app.recommendations_service:_query_user_event_history:154 - get user events - url = http://localhost:8001/event, params = {'user_id': 1202008, 'recent_n': 3}
29.06.26 21:36:23 | DEBUG | app.recommendations_service:_query_user_event_history:162 - response status = 200, data = {"items":[80091826,55307683,28259199]}
29.06.26 21:36:23 | DEBUG | app.recommendations_service:_query_user_event_history:172 - successfully got user events - user_id = 1202008 - item ids = [80091826, 55307683, 28259199]
29.06.26 21:36:23 | DEBUG | app.recommendations_service:_query_similar_items:207 - get similar items for items_id - 80091826, top_k = 10
29.06.26 21:36:23 | DEBUG | app.recommendations_service:_query_similar_items:215 - query content service - url = http://localhost:8002/similar, params = {'item_id': 80091826, 'top_k': 10}
29.06.26 21:36:23 | DEBUG | app.recommendations_service:_query_similar_items:222 - response status = 200, data = {"item_id":[80091826,80091848,24986327,38931245,29049235,37610894,2198489,29049234,37610892,37610896],"score":[1.0,0.92964,0.86775,0.86681,0.86598,0.86474,0.86423,0.86398,0.86124,0.86077]}
29.06.26 21:36:23 | DEBUG | app.recommendations_service:_query_similar_items:227 - successfully got similar items for item (80091826) - item ids = {'item_id': [80091826, 80091848, 24986327, 38931245, 29049235, 37610894, 2198489, 29049234, 37610892, 37610896], 'score': [1.0, 0.92964, 0.86775, 0.86681, 0.86598, 0.86474, 0.86423, 0.86398, 0.86124, 0.86077]}
29.06.26 21:36:23 | DEBUG | app.recommendations_service:_query_similar_items:207 - get similar items for items_id - 55307683, top_k = 10
29.06.26 21:36:23 | DEBUG | app.recommendations_service:_query_similar_items:215 - query content service - url = http://localhost:8002/similar, params = {'item_id': 55307683, 'top_k': 10}
29.06.26 21:36:23 | DEBUG | app.recommendations_service:_query_similar_items:222 - response status = 200, data = {"item_id":[55307683,55307673,29186024,56974133,55307681,33753123,51164528,55307676,56829535,51263410],"score":[1.0,0.81835,0.81481,0.80845,0.8019,0.80172,0.80045,0.79997,0.79984,0.79397]}
29.06.26 21:36:23 | DEBUG | app.recommendations_service:_query_similar_items:227 - successfully got similar items for item (55307683) - item ids = {'item_id': [55307683, 55307673, 29186024, 56974133, 55307681, 33753123, 51164528, 55307676, 56829535, 51263410], 'score': [1.0, 0.81835, 0.81481, 0.80845, 0.8019, 0.80172, 0.80045, 0.79997, 0.79984, 0.79397]}
29.06.26 21:36:23 | DEBUG | app.recommendations_service:_query_similar_items:207 - get similar items for items_id - 28259199, top_k = 10
29.06.26 21:36:23 | DEBUG | app.recommendations_service:_query_similar_items:215 - query content service - url = http://localhost:8002/similar, params = {'item_id': 28259199, 'top_k': 10}
29.06.26 21:36:23 | DEBUG | app.recommendations_service:_query_similar_items:222 - response status = 200, data = {"item_id":[28259199,64972604,80634875,890111,4638274,133057,25489487,51636774,875467,29940978],"score":[1.0,0.90628,0.88773,0.87815,0.86891,0.85791,0.85662,0.85578,0.85519,0.85458]}
29.06.26 21:36:23 | DEBUG | app.recommendations_service:_query_similar_items:227 - successfully got similar items for item (28259199) - item ids = {'item_id': [28259199, 64972604, 80634875, 890111, 4638274, 133057, 25489487, 51636774, 875467, 29940978], 'score': [1.0, 0.90628, 0.88773, 0.87815, 0.86891, 0.85791, 0.85662, 0.85578, 0.85519, 0.85458]}
29.06.26 21:36:24 | DEBUG | app.recommendations_service:get_recommendations_offline:62 - get offline recs for user_id 1202008, top_k = 10
29.06.26 21:36:25 | DEBUG | app.recommendations_service:get_recommendations_full:93 - get full recs for user_id 1202008, top_k = 10
29.06.26 21:36:25 | DEBUG | app.recommendations_service:_query_user_event_history:154 - get user events - url = http://localhost:8001/event, params = {'user_id': 1202008, 'recent_n': 3}
29.06.26 21:36:25 | DEBUG | app.recommendations_service:_query_user_event_history:162 - response status = 200, data = {"items":[80091826,55307683,28259199]}
29.06.26 21:36:25 | DEBUG | app.recommendations_service:_query_user_event_history:172 - successfully got user events - user_id = 1202008 - item ids = [80091826, 55307683, 28259199]
29.06.26 21:36:25 | DEBUG | app.recommendations_service:_query_similar_items:207 - get similar items for items_id - 80091826, top_k = 10
29.06.26 21:36:25 | DEBUG | app.recommendations_service:_query_similar_items:215 - query content service - url = http://localhost:8002/similar, params = {'item_id': 80091826, 'top_k': 10}
29.06.26 21:36:25 | DEBUG | app.recommendations_service:_query_similar_items:222 - response status = 200, data = {"item_id":[80091826,80091848,24986327,38931245,29049235,37610894,2198489,29049234,37610892,37610896],"score":[1.0,0.92964,0.86775,0.86681,0.86598,0.86474,0.86423,0.86398,0.86124,0.86077]}
29.06.26 21:36:25 | DEBUG | app.recommendations_service:_query_similar_items:227 - successfully got similar items for item (80091826) - item ids = {'item_id': [80091826, 80091848, 24986327, 38931245, 29049235, 37610894, 2198489, 29049234, 37610892, 37610896], 'score': [1.0, 0.92964, 0.86775, 0.86681, 0.86598, 0.86474, 0.86423, 0.86398, 0.86124, 0.86077]}
29.06.26 21:36:25 | DEBUG | app.recommendations_service:_query_similar_items:207 - get similar items for items_id - 55307683, top_k = 10
29.06.26 21:36:25 | DEBUG | app.recommendations_service:_query_similar_items:215 - query content service - url = http://localhost:8002/similar, params = {'item_id': 55307683, 'top_k': 10}
29.06.26 21:36:25 | DEBUG | app.recommendations_service:_query_similar_items:222 - response status = 200, data = {"item_id":[55307683,55307673,29186024,56974133,55307681,33753123,51164528,55307676,56829535,51263410],"score":[1.0,0.81835,0.81481,0.80845,0.8019,0.80172,0.80045,0.79997,0.79984,0.79397]}
29.06.26 21:36:25 | DEBUG | app.recommendations_service:_query_similar_items:227 - successfully got similar items for item (55307683) - item ids = {'item_id': [55307683, 55307673, 29186024, 56974133, 55307681, 33753123, 51164528, 55307676, 56829535, 51263410], 'score': [1.0, 0.81835, 0.81481, 0.80845, 0.8019, 0.80172, 0.80045, 0.79997, 0.79984, 0.79397]}
29.06.26 21:36:25 | DEBUG | app.recommendations_service:_query_similar_items:207 - get similar items for items_id - 28259199, top_k = 10
29.06.26 21:36:25 | DEBUG | app.recommendations_service:_query_similar_items:215 - query content service - url = http://localhost:8002/similar, params = {'item_id': 28259199, 'top_k': 10}
29.06.26 21:36:25 | DEBUG | app.recommendations_service:_query_similar_items:222 - response status = 200, data = {"item_id":[28259199,64972604,80634875,890111,4638274,133057,25489487,51636774,875467,29940978],"score":[1.0,0.90628,0.88773,0.87815,0.86891,0.85791,0.85662,0.85578,0.85519,0.85458]}
29.06.26 21:36:25 | DEBUG | app.recommendations_service:_query_similar_items:227 - successfully got similar items for item (28259199) - item ids = {'item_id': [28259199, 64972604, 80634875, 890111, 4638274, 133057, 25489487, 51636774, 875467, 29940978], 'score': [1.0, 0.90628, 0.88773, 0.87815, 0.86891, 0.85791, 0.85662, 0.85578, 0.85519, 0.85458]}
